Comment,Designator,Footprint,LCSC
470R,FB1,0603_minimalist,C1002
1k,"R3,R4,R5",0402_minimalist,C11702
100n,"C4,C6",0402_minimalist,C1525
100p,C1,0402_minimalist,C1546
15p,"C7,C8",0402_minimalist,C1548
10u,"C2,C5",0603_minimalist,C19702
330,R2,0402_minimalist,C25104
10k,R1,0402_minimalist,C25744
RST,SW1,SW_SPST_SKQG_WithStem,C318884
32.768kHz 12.5p,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
1u,"C10,C11,C3",0402_minimalist,C52923
PWR,"D1,D2",LED_0603_1608Metric,C72038
Castellated_headers,J2,Arduino_Nano,
SWD,J1,PinHeader_2x05_P1.27mm_Vertical_SMD,
ATSAMC21E18A-M,U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,
15u,C9,C_1206_3216Metric,
10u,C12,C_1210_3225Metric,
NC,R6,0402_NC_minimalist,
DNP,R7,0402_minimalist,
LMZM23600V5,U3,LMZM2360X,
PWR_SW,JP1,PinHeader_1x03_P2.54mm_Vertical,
AP2112K-3.3,U2,SOT-23-5,
Logo,FID1,Logo,
Tooling,FID2,JLCPCB_tooling_hole,
Tooling,FID3,JLCPCB_tooling_hole,
Logo2,FID4,turboino_logo,
Logo3,FID5,turboino_back,
WEEE,FID6,WEEE-Logo_4.2x6mm_SilkScreen,
